id,lastpage,taskalbert,taskberta,control1,control2,age,gender
1,7,7,7,6,1,33,3
2,7,4,4,6,1,24,
3,7,5,5,6,1,24,1
4,7,4,4,6,1,24,3
5,7,7,7,6,1,34,1
6,7,5,2,6,1,19,1
7,7,7,4,6,1,27,3
8,7,5,5,6,1,22,3
9,7,4,6,6,1,23,1
10,7,6,4,6,1,21,2
11,7,7,7,6,1,25,3
12,7,7,1,6,1,21,1
13,7,4,4,6,1,24,3
14,7,6,6,6,1,,1
15,7,7,7,6,1,23,1
16,7,6,4,6,1,20,1
17,7,5,5,6,1,25,3
18,7,4,4,6,1,31,3
19,7,7,4,6,1,22,1
20,7,4,4,6,1,23,1
21,7,4,4,6,1,,1
22,7,4,4,6,1,21,3
23,7,7,7,6,1,25,1
24,7,7,7,6,1,23,3
25,7,6,5,6,1,36,3
26,7,4,4,6,1,18,1
27,7,6,4,6,1,22,1
28,7,6,4,6,1,24,1
29,7,7,7,6,1,20,3
30,7,7,7,6,1,27,3
31,7,7,2,6,1,21,1
32,7,5,7,6,1,22,1
33,7,5,4,6,1,29,3
34,7,5,2,6,1,21,1
35,7,4,4,6,1,21,1
36,7,6,5,6,1,19,3
37,7,7,7,6,1,21,3
38,7,7,7,6,1,20,1
39,7,7,7,6,1,21,1
40,7,5,5,6,1,20,1
41,7,5,5,2,1,22,1
42,7,7,7,6,1,19,1
43,7,7,7,6,1,21,3
44,7,7,7,6,1,20,1
45,7,7,7,6,1,19,1
46,7,7,7,6,1,20,1
47,7,1,1,6,1,20,1
48,7,5,5,6,1,20,2
49,7,6,4,6,1,27,1
50,7,7,7,6,1,21,1
51,7,5,3,2,3,23,3
52,7,5,6,6,1,22,3
53,7,7,7,6,1,23,3
54,7,4,4,6,1,19,1
55,7,5,5,6,1,27,1
56,7,6,4,6,1,22,3
57,7,7,7,6,1,28,3
58,7,7,7,6,1,25,3
59,7,6,7,6,1,22,1
60,7,5,4,6,1,22,3
61,7,5,4,6,1,20,2
62,7,5,3,6,1,21,1
63,7,6,6,6,1,,3
64,7,4,4,6,1,21,1
65,7,5,5,6,1,19,3
66,7,3,5,6,1,22,1
67,7,4,4,6,1,35,1
68,7,7,7,6,1,23,3
69,7,5,4,6,1,27,3
70,7,6,6,6,1,23,3
71,7,4,4,6,1,23,3
72,7,4,4,6,3,25,1
73,7,5,1,6,1,22,3
74,7,6,6,6,1,22,1
75,7,3,6,6,1,19,3
76,7,5,5,6,1,22,3
77,7,6,7,6,1,25,3
78,7,6,6,6,1,62,3
